"time","J1_w","J2_w","J3_w","J4_w"
0.0000000000000000E+000,1.0000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
3.0000000000000001E-003,9.9721810877475523E+000,2.9999864435359087E-002,0.0000000000000000E+000,0.0000000000000000E+000
6.0000000000000001E-003,9.9465286644631927E+000,5.9999307989654395E-002,0.0000000000000000E+000,0.0000000000000000E+000
9.0000000000000011E-003,9.9235532237476392E+000,8.9997856976229182E-002,0.0000000000000000E+000,0.0000000000000000E+000
1.2000000000000004E-002,9.9032592642979047E+000,1.1999507109949938E-001,0.0000000000000000E+000,0.0000000000000000E+000
1.5000000000000006E-002,9.8855367513246222E+000,1.4999040208230027E-001,0.0000000000000000E+000,0.0000000000000000E+000
1.8000000000000009E-002,9.8703478066299741E+000,1.7998373775224594E-001,0.0000000000000000E+000,0.0000000000000000E+000
2.1000000000000012E-002,9.8575374365281387E+000,2.0997454912821462E-001,0.0000000000000000E+000,0.0000000000000000E+000
2.4000000000000014E-002,9.8469953484214656E+000,2.3996250836027436E-001,0.0000000000000000E+000,0.0000000000000000E+000
2.7000000000000017E-002,9.8385219002006004E+000,2.6994708055125427E-001,0.0000000000000000E+000,0.0000000000000000E+000
3.0000000000000020E-002,9.8319270270636316E+000,2.9992775793587728E-001,0.0000000000000000E+000,0.0000000000000000E+000
3.3000000000000022E-002,9.8270168117059224E+000,3.2990421366325656E-001,0.0000000000000000E+000,0.0000000000000000E+000
3.6000000000000025E-002,9.8235651834541926E+000,3.5987604503296289E-001,0.0000000000000000E+000,0.0000000000000000E+000
3.9000000000000028E-002,9.8213369734490019E+000,3.8984283623641358E-001,0.0000000000000000E+000,0.0000000000000000E+000
4.2000000000000030E-002,9.8200728179480521E+000,4.1980401885416530E-001,0.0000000000000000E+000,0.0000000000000000E+000
4.5000000000000033E-002,9.8195038041845457E+000,4.4975921550934911E-001,0.0000000000000000E+000,0.0000000000000000E+000
4.8000000000000036E-002,9.8193746837465490E+000,4.7970800100547867E-001,0.0000000000000000E+000,0.0000000000000000E+000
5.1000000000000038E-002,9.8194285336761755E+000,5.0964995621485898E-001,0.0000000000000000E+000,0.0000000000000000E+000
5.4000000000000041E-002,9.8193933545689962E+000,5.3958466185100362E-001,0.0000000000000000E+000,0.0000000000000000E+000
5.7000000000000044E-002,9.8190045168522957E+000,5.6951169435192273E-001,0.0000000000000000E+000,0.0000000000000000E+000
6.0000000000000046E-002,9.8180012558671645E+000,5.9943062524353996E-001,0.0000000000000000E+000,0.0000000000000000E+000
6.3000000000000042E-002,9.8161334019957103E+000,6.2934104539647662E-001,0.0000000000000000E+000,0.0000000000000000E+000
6.6000000000000045E-002,9.8131585221452760E+000,6.5924253970937263E-001,0.0000000000000000E+000,0.0000000000000000E+000
6.9000000000000047E-002,9.8088247782653397E+000,6.8913466301623105E-001,0.0000000000000000E+000,0.0000000000000000E+000
7.2000000000000050E-002,9.8029127472909892E+000,7.1901699709244360E-001,0.0000000000000000E+000,0.0000000000000000E+000
7.5000000000000053E-002,9.7952099368789227E+000,7.4888910970143840E-001,0.0000000000000000E+000,0.0000000000000000E+000
7.8000000000000055E-002,9.7855197863982397E+000,7.7875057320963970E-001,0.0000000000000000E+000,0.0000000000000000E+000
8.1000000000000058E-002,9.7736645665826547E+000,8.0860098765792343E-001,0.0000000000000000E+000,0.0000000000000000E+000
